id,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,0,0,10,0,28854,0.521,42,0,29330.3567,21817.65,25000,4330.36,0,0,0,01-10-2011,7392.08,01-08-2012
55742,0,0,7,0,33623,0.767,7,0,8215.53706,684.94,7000,1215.54,0,0,0,01-06-2011,228.48,01-08-2012
57245,64,0,5,0,2584,0.404,31,0,1457.819531,1457.82,1200,257.82,0,0,0,01-03-2013,42.73,01-05-2016
57416,58,0,14,0,3511,0.256,40,0,13207.7633,13073.71,10800,2407.76,0,0,0,01-11-2012,398,01-05-2016
58915,0,0,3,0,33667,0.732,11,0,5843.875367,571.3,5024.99,818.88,0,0,0,01-04-2011,162.63,01-03-2014
59006,13,0,13,0,4740,0.395,23,0,3704.99765,3688.85,3000,705,0,0,0,01-10-2012,111.23,01-09-2012
61390,0,0,11,0,50807,0.51,19,0,4451.606058,4340.32,4000,451.61,0,0,0,01-03-2012,1454.31,01-03-2012
61419,38,63,5,1,3839,0.768,9,0,6474.6,6387.92,5220.69,1211.07,0,42.84,1.06,01-10-2012,194.02,01-03-2013
62102,0,0,7,0,3198,0.511,11,0,3413.98528,3413.99,3200,213.99,0,0,0,01-02-2011,2592.23,01-03-2013
65426,0,0,14,0,24220,0.686,33,0,2755.2,2615.8,2170.35,584.85,0,0,0,01-06-2011,131.22,01-05-2016
65640,0,0,20,0,69909,0.511,51,0,3153.804764,512.18,2649.99,488.82,15,0,0,01-05-2011,87.83,01-04-2015
66431,0,0,5,0,5630,0.23,8,0,3028.319048,2848.42,2525,503.32,0,0,0,01-03-2012,89.75,01-03-2012
66749,57,85,5,1,13846,0.71,16,0,12975.35746,6107.41,10625,2350.36,0,0,0,01-01-2012,370.44,01-12-2011
66943,0,97,7,1,2183,0.195,23,0,3143.861603,3031.58,2800,343.86,0,0,0,01-10-2011,2348.97,01-07-2014
66964,10,0,11,0,5122,0.182,37,0,9128.550873,1012.95,7500,1628.55,0,0,0,01-06-2011,253.87,01-06-2011
67503,0,0,7,0,6068,0.167,49,0,11280.38272,11280.38,10000,1280.38,0,0,0,01-02-2012,3064.45,01-02-2014
68163,16,0,14,0,3021,0.048,25,0,3341.641503,3341.64,3000,341.64,0,0,0,01-02-2013,97.75,01-02-2013
68381,0,0,3,0,6282,0.446,9,0,7541.803814,7371.04,6625,916.8,0,0,0,01-03-2011,424.12,01-03-2015
68817,45,0,7,0,5394,0.534,23,0,11709.14052,2898.01,10000,1709.14,0,0,0,01-09-2010,23.15,01-09-2010
68926,46,0,4,0,2211,0.884,13,0,2796.601136,643.5,2300,496.6,0,0,0,01-09-2011,77.78,01-05-2016
69001,0,0,6,0,7586,0.527,19,0,17135.51023,16992.71,15000,2135.51,0,0,0,01-07-2012,1919.13,01-08-2015
69124,0,0,2,0,8311,0.598,9,0,21027.94463,13395.7,18000,3027.95,0,0,0,01-04-2011,598.22,01-05-2016
69168,0,0,2,0,591,0.844,6,0,6251.187621,6219.93,5000,1251.19,0,0,0,01-04-2011,184.81,01-05-2016
69251,0,0,16,0,29797,0.232,39,0,6783.750468,565.31,5999.99,768.76,15,0,0,01-05-2011,189.36,01-05-2011
69550,0,0,7,0,7248,0.692,11,0,15923.97483,15899.19,11200,4723.97,0,0,0,01-08-2014,2816.71,01-05-2016
69828,0,0,4,0,5656,0.276,25,0,17208.17701,15033.5,15000,2113.3,94.88000045,0,0,01-08-2011,38.2,01-08-2011
69924,0,0,11,0,21162,0.577,14,0,12225.41138,10738.03,10000,2225.41,0,0,0,01-04-2011,359.55,01-02-2016
69990,0,0,8,0,16931,0.346,21,0,17438.40519,16200.84,15500,1938.41,0,0,0,01-02-2013,472.56,01-02-2013
70348,68,63,5,1,4822,0.581,27,0,11340.97,10947.16,9600,1740.97,0,0,0,01-05-2010,3773.06,01-05-2016
76597,5,0,5,0,14354,0.366,7,0,5725.016258,2032.38,5000,725.02,0,0,0,01-07-2010,160.61,01-07-2010
84918,0,0,12,0,1576,0.057,21,0,5200.462983,2106.19,5000,200.46,0,0,0,01-04-2008,4268.52,01-06-2007
